code,error
4176,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4177,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4178,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:11>], /'Encoding', /'UniJIS-UTF16-H']"
4193,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4206,No objects to concatenate
4222,No objects to concatenate
4228,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4229,only algorithm code 1 and 2 are supported
4234,No objects to concatenate
4235,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4238,No objects to concatenate
4243,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4274,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4275,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4284,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4304,only algorithm code 1 and 2 are supported
4307,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4308,only algorithm code 1 and 2 are supported
4320,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4323,No objects to concatenate
4327,only algorithm code 1 and 2 are supported
4334,only algorithm code 1 and 2 are supported
4341,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:22>], /'Encoding', /'UniJIS-UTF16-H']"
4345,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4348,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4355,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4356,only algorithm code 1 and 2 are supported
4386,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4387,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4394,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4396,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4397,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4403,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4422,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4423,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4427,only algorithm code 1 and 2 are supported
4428,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4435,only algorithm code 1 and 2 are supported
4439,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4443,only algorithm code 1 and 2 are supported
4446,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4461,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4463,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4481,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4482,No objects to concatenate
4484,No objects to concatenate
4486,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4490,No objects to concatenate
4491,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4494,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4503,only algorithm code 1 and 2 are supported
4506,only algorithm code 1 and 2 are supported
4512,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4521,only algorithm code 1 and 2 are supported
4523,only algorithm code 1 and 2 are supported
4524,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4526,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:17>], /'Encoding', /'UniJIS-UTF16-H']"
4541,only algorithm code 1 and 2 are supported
4544,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4548,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:17>], /'Encoding', /'UniJIS-UTF16-H']"
4552,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4556,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4558,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4574,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4578,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4579,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4581,only algorithm code 1 and 2 are supported
4584,min() arg is an empty sequence
4592,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4593,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4598,only algorithm code 1 and 2 are supported
4612,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4617,only algorithm code 1 and 2 are supported
4621,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4625,only algorithm code 1 and 2 are supported
4627,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4649,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4650,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4658,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4667,only algorithm code 1 and 2 are supported
4671,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4676,No objects to concatenate
4678,No objects to concatenate
4680,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4709,only algorithm code 1 and 2 are supported
4714,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4719,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4722,only algorithm code 1 and 2 are supported
4732,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4739,No objects to concatenate
4752,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4760,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4761,only algorithm code 1 and 2 are supported
4771,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4812,only algorithm code 1 and 2 are supported
4819,only algorithm code 1 and 2 are supported
4820,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4826,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4838,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4840,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4888,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4901,only algorithm code 1 and 2 are supported
4917,only algorithm code 1 and 2 are supported
4918,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4922,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4926,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4928,only algorithm code 1 and 2 are supported
4934,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4936,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4951,No objects to concatenate
4960,only algorithm code 1 and 2 are supported
4963,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4973,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x82o\\x83S\\x83V\\x83b\\x83N'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4974,only algorithm code 1 and 2 are supported
4978,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4979,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4980,only algorithm code 1 and 2 are supported
4985,only algorithm code 1 and 2 are supported
4992,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
4998,only algorithm code 1 and 2 are supported
4999,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5013,only algorithm code 1 and 2 are supported
5021,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5070,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5108,only algorithm code 1 and 2 are supported
5184,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5189,only algorithm code 1 and 2 are supported
5192,only algorithm code 1 and 2 are supported
5208,only algorithm code 1 and 2 are supported
5218,only algorithm code 1 and 2 are supported
5277,No objects to concatenate
5285,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5290,only algorithm code 1 and 2 are supported
5302,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5331,No objects to concatenate
5333,only algorithm code 1 and 2 are supported
5344,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5356,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5357,only algorithm code 1 and 2 are supported
5358,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x82o\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5363,No objects to concatenate
5406,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5440,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5476,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5480,No objects to concatenate
5491,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5603,No objects to concatenate
5699,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5707,only algorithm code 1 and 2 are supported
5711,only algorithm code 1 and 2 are supported
5715,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5721,No objects to concatenate
5724,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5741,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5803,only algorithm code 1 and 2 are supported
5817,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5857,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5911,"Invalid dictionary construct: [/'Type', /'Font', /'BaseFont', /b""b'"", /""\\x82l\\x82r\\x96\\xbe\\x92\\xa9'"", /'Subtype', /'Type0', /'DescendantFonts', [<PDFObjRef:12>], /'Encoding', /'UniJIS-UTF16-H']"
5915,No objects to concatenate
